Date,Price,Date2,Open,High,Low,Close price,Vol.,Change %,Column1,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 24, 2020","3,226.25","Feb 24, 2020","3,309.00","3,312.00","3,213.75","3,226.25",3.64M,-3.38%,3.4%,$98.25,2.97%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 21, 2020","3,339.25","Feb 21, 2020","3,367.00","3,369.25","3,328.00","3,339.25",2.29M,-0.89%,0.9%,$41.25,1.23%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 20, 2020","3,369.25","Feb 20, 2020","3,391.75","3,397.50","3,339.25","3,369.25",2.07M,-0.53%,0.5%,$58.25,1.72%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 19, 2020","3,387.25","Feb 19, 2020","3,372.00","3,393.75","3,370.75","3,387.25",1.16M,0.53%,0.5%,$23.00,0.68%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 18, 2020","3,369.25","Feb 18, 2020","3,382.25","3,392.50","3,355.25","3,369.25",1.74M,-0.20%,0.2%,$37.25,1.10%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 17, 2020","3,376.00","Feb 17, 2020","3,387.62","3,392.38","3,372.12","3,376.00",-,-0.34%,0.3%,$20.26,0.60%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 16, 2020","3,387.38","Feb 16, 2020","3,382.62","3,389.38","3,382.62","3,387.38",-,0.19%,0.2%,$6.76,0.20%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 14, 2020","3,381.00","Feb 14, 2020","3,379.50","3,388.50","3,365.25","3,381.00",1.33M,0.10%,0.1%,$23.25,0.69%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 13, 2020","3,377.50","Feb 13, 2020","3,381.25","3,384.75","3,348.50","3,377.50",1.77M,-0.09%,0.1%,$36.25,1.07%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 12, 2020","3,380.50","Feb 12, 2020","3,360.50","3,381.50","3,355.50","3,380.50",1.23M,0.69%,0.7%,$26.00,0.77%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 11, 2020","3,357.50","Feb 11, 2020","3,351.00","3,374.50","3,349.25","3,357.50",1.49M,0.13%,0.1%,$25.25,0.75%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 10, 2020","3,353.00","Feb 10, 2020","3,322.25","3,353.50","3,303.50","3,353.00",1.40M,0.83%,0.8%,$50.00,1.51%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 07, 2020","3,325.50","Feb 07, 2020","3,349.00","3,350.00","3,320.75","3,325.50",1.70M,-0.59%,0.6%,$29.25,0.87%,,,,,,,,,,,,,,,,,,,,,,,,
